Method,Matching OAs,SED 167 z-scores,SED 60 k-vars,Spatially clustered OAs,Approach,Design,Design detail,Aggregator,Spatial graph,Input,Matching OAs (pct),Spatially clustered OAs (pct),plot_label
KMeans_60pca,15493,107.2,0.899,13911,KM (60 PCA),KM,KM,None,None,60 PCA,61.840897297728816,55.52628427733206,NA
Queens_SFCM_60kvars,19152,118.2,0.888,21476,SFCM (60 k-vars),SFCM,SFCM,None,Queens,60 k-vars,76.44593461860855,85.72226879016485,Fig. 3c
KNN8_SFCM_60kvars,18863,118.7,0.893,21439,SFCM (60 k-vars),SFCM,SFCM,None,KNN8,60 k-vars,75.29238015407337,85.57458188640084,NA
MDT_SFCM_60kvars,15499,122.9,0.933,21771,SFCM (60 k-vars),SFCM,SFCM,None,MDT,60 k-vars,61.864846525366225,86.89977248233744,NA
Queens_SFCM_60pca,14666,114.4,0.932,20779,SFCM (60 PCA),SFCM,SFCM,None,Queens,60 PCA,58.53989542170598,82.94016684628588,Fig. 3e
KNN8_SFCM_60pca,14541,115,0.935,20784,SFCM (60 PCA),SFCM,SFCM,None,KNN8,60 PCA,58.04095317925997,82.96012453598371,NA
MDT_SFCM_60pca,13321,119.3,0.947,21225,SFCM (60 PCA),SFCM,SFCM,None,MDT,60 PCA,53.17127689298686,84.72039276733325,NA
Queens_GCN_167zscores,12854,123.3,0.988,19505,vGNN (167 z-scores),vGNN,GCN,MaxPooling,Queens,167 z-scores,51.30722867520856,77.8549475112761,NA
KNN8_GCN_167zscores,13392,118.2,0.936,20849,vGNN (167 z-scores),vGNN,GCN,MaxPooling,KNN8,167 z-scores,53.45467608669621,83.21957450205564,Fig. 3b
MDT_GCN_167zscores,11372,135.8,1.119,15524,vGNN (167 z-scores),vGNN,GCN,MaxPooling,MDT,167 z-scores,45.391769448768606,61.964634973855425,NA
Queens_GSCN_MeanAgg_167zscores,12470,124.1,0.998,20561,vGNN (167 z-scores),vGNN,GSCN,Mean,Queens,167 z-scores,49.7744781064144,82.07001157546003,NA
Queens_GSonly_MeanAgg_167zscores,9066,139.6,1.102,24524,vGNN (167 z-scores),vGNN,GS,Mean,Queens,167 z-scores,36.187282960124534,97.88847642996846,NA
KNN8_GSCN_AttentionalAgg_167zscores,13451,117.6,0.943,17232,vGNN (167 z-scores),vGNN,GSCN,Att,KNN8,167 z-scores,53.69017682513072,68.78218177463776,NA
KNN8_GSCN_MaxPoolingAgg_167zscores,14587,110.7,0.91,15381,vGNN (167 z-scores),vGNN,GSCN,MaxPooling,KNN8,167 z-scores,58.2245639244801,61.393845048497184,NA
KNN8_GSCN_MaxPoolingAgg_167zscores_RW8,14468,111.9,0.921,15154,vGNN (167 z-scores),vGNN,GSCN,MaxPooling,KNN8,167 z-scores,57.7495709096715,60.48776593621522,NA
KNN8_GSCN_MaxPoolingAgg_167zscores_RW28,11501,136.3,1.15,9414,vGNN (167 z-scores),vGNN,GSCN,MaxPooling,KNN8,167 z-scores,45.9066778429729,37.57633816309424,NA
KNN8_GSCN_MeanAgg_167zscores,15253,111.8,0.918,15003,vGNN (167 z-scores),vGNN,GSCN,Mean,KNN8,167 z-scores,60.88292819223247,59.88504370734044,NA
KNN8_GSCN_MeanPoolingAgg_167zscores,16669,111.2,0.893,15941,vGNN (167 z-scores),vGNN,GSCN,MeanPooling,KNN8,167 z-scores,66.53494591466091,63.62910629465534,NA
KNN8_GSonly_MeanAgg_167zscores,8717,141.5,1.128,24366,vGNN (167 z-scores),vGNN,GS,Mean,KNN8,167 z-scores,34.794236219215264,97.25781343551671,Fig. 3f
KNN8_Att2Vec_167zscores,12838,112.6,0.938,14790,Vec (167 z-scores),Vec,Vec,None,KNN8,167 z-scores,51.24336406817547,59.03484612621243,NA
KNN8_Node2Vec_167zscores,11671,112,0.944,14208,Vec (167 z-scores),Vec,Vec,None,KNN8,167 z-scores,46.58523929269948,56.711771045383784,NA
MDT_GSCN_MeanAgg_167zscores,14029,116.4,0.931,12533,vGNN (167 z-scores),vGNN,GSCN,Mean,MDT,167 z-scores,55.9972857542011,50.025944996607194,NA
Queens_NAGAE_d1,15065,120.3,0.958,23312,"NAGAE-d1 (167 z-scores)","NAGAE-d1","NAGAE-d1",None,Queens,167 z-scores,60.13251905959366,93.05073244721191,Fig. 3d
KNN8_NAGAE_d1,13592,125.9,1.007,22711,"NAGAE-d1 (167 z-scores)","NAGAE-d1","NAGAE-d1",None,KNN8,167 z-scores,54.25298367460982,90.65181814553146,NA
MDT_NAGAE_d1,13355,119.8,0.967,17253,"NAGAE-d1 (167 z-scores)","NAGAE-d1","NAGAE-d1",None,MDT,167 z-scores,53.306989182932185,68.8660040713687,NA
Queens_NAGAE_d2,13117,120.9,0.964,23398,"NAGAE-d2 (167 z-scores)","NAGAE-d2","NAGAE-d2",None,Queens,167 z-scores,52.35700315331498,93.39400471001477,NA
KNN8_NAGAE_d2,12288,121.8,0.98,22823,"NAGAE-d2 (167 z-scores)","NAGAE-d2","NAGAE-d2",None,KNN8,167 z-scores,49.048018201413,91.0988703947631,NA
MDT_NAGAE_d2,14158,120.5,0.965,21594,"NAGAE-d2 (167 z-scores)","NAGAE-d2","NAGAE-d2",None,MDT,167 z-scores,56.512194148405385,86.19327026703388,NA
LOAC,25053,114.5,0.834,15251,KM (60 k-vars),KM,KM,None,None,60 k-vars,100,60.87494511635333,Fig. 3a
