oa_code,LOAC_supgrp_cd,KMeans_60pca,Queens_SFCM_60kvars,KNN8_SFCM_60kvars,MDT_SFCM_60kvars,Queens_SFCM_60pca,KNN8_SFCM_60pca,MDT_SFCM_60pca,Queens_GCN_167zscores,KNN8_GCN_167zscores,MDT_GCN_167zscores,Queens_GSCN_MeanAgg_167zscores,Queens_GSCN_MeanAgg_60kvars,Queens_GSonly_MeanAgg_167zscores,KNN8_GSCN_AttentionalAgg_167zscores,KNN8_GSCN_MaxPoolingAgg_167zscores,KNN8_GSCN_MaxPoolingAgg_167zscores_RW8,KNN8_GSCN_MaxPoolingAgg_167zscores_RW28,KNN8_GSCN_MeanAgg_167zscores,KNN8_GSCN_MeanAgg_60kvars,KNN8_GSCN_MeanPoolingAgg_167zscores,KNN8_GSonly_MeanAgg_167zscores,KNN8_Att2Vec_167zscores,KNN8_Node2Vec_167zscores,MDT_GSCN_MeanAgg_167zscores,MDT_GSCN_MeanAgg_60kvars,Queens_NAGAE_d1,KNN8_NAGAE_d1,MDT_NAGAE_d1,Queens_NAGAE_d2,KNN8_NAGAE_d2,MDT_NAGAE_d2
E00000001,D,7,1,1,1,4,4,4,7,1,4,1,7,3,5,7,5,7,0,6,6,6,3,3,4,2,2,2,0,3,7,6
E00000003,D,7,1,1,1,4,4,4,7,1,4,1,7,3,5,7,5,4,2,6,6,6,3,3,4,2,2,2,0,3,7,6
E00000005,D,7,1,1,1,4,4,4,7,1,2,1,2,3,5,5,2,6,2,6,6,6,3,3,3,1,2,2,0,3,7,6
E00000007,D,6,1,1,1,4,4,4,7,1,4,1,2,3,5,0,4,1,2,6,6,6,0,3,3,6,2,2,0,3,7,6
E00000010,D,6,1,1,1,1,1,4,7,1,4,1,2,3,7,5,2,6,2,6,6,6,3,0,3,6,7,3,0,2,1,6
E00000012,D,1,1,1,1,1,1,4,7,1,4,1,2,3,7,5,2,6,6,6,0,6,3,7,4,6,7,2,5,2,1,4
E00000013,D,6,1,1,1,4,4,4,7,1,4,1,2,3,5,0,4,1,6,6,6,6,0,3,3,6,2,2,0,3,7,6
E00000014,D,5,1,1,1,4,4,4,7,1,0,1,2,3,7,5,2,6,6,6,0,6,7,0,3,6,7,2,0,2,1,6
E00000016,D,6,1,1,1,4,4,4,7,1,4,1,2,3,5,5,2,2,2,6,6,6,3,3,3,1,2,3,0,3,7,6
E00000017,D,7,1,1,1,4,4,4,7,1,4,1,2,3,5,0,4,5,2,6,6,6,0,3,4,2,2,3,0,3,7,6
E00000018,F,7,1,1,1,4,4,4,7,1,6,1,0,3,5,0,4,1,2,6,6,6,3,3,4,2,2,2,0,3,7,6
E00000019,D,6,1,1,1,4,4,4,7,1,4,1,2,3,5,0,4,6,2,6,6,6,3,3,4,1,2,2,0,3,7,6
E00000020,D,7,1,1,1,4,4,4,7,1,4,1,2,3,5,5,2,6,2,6,6,6,3,3,3,1,2,2,0,3,7,6
E00000021,D,6,1,1,1,4,4,4,7,1,4,1,2,3,5,0,4,1,2,6,6,6,3,3,3,1,2,2,0,3,7,6
E00000022,D,5,1,1,1,1,2,2,0,3,2,2,2,3,7,5,2,6,6,6,0,6,3,0,4,6,7,3,5,2,1,6
E00000023,B,1,1,1,3,2,1,2,7,1,4,2,2,3,5,5,2,6,6,6,0,6,3,0,4,5,7,2,5,2,1,6
E00000024,D,6,1,1,1,4,4,4,7,1,4,1,2,3,5,0,4,1,2,6,6,6,0,3,3,5,2,2,0,3,7,6
E00000025,D,6,1,1,1,4,4,4,7,1,4,1,2,3,5,0,4,7,2,6,6,6,0,3,3,4,2,2,0,3,7,6
E00000026,D,6,1,1,1,4,4,4,7,1,4,1,2,3,5,0,4,1,2,6,6,6,0,3,3,6,2,2,0,3,7,6
E00000027,D,6,1,1,1,4,4,4,7,1,4,1,2,3,5,0,4,1,2,6,6,6,0,3,3,6,2,2,0,3,7,6
E00000028,D,6,1,1,1,4,4,4,7,1,4,1,2,3,5,0,4,1,2,6,6,6,0,3,3,6,2,2,0,3,7,6
E00000029,D,6,1,1,3,4,4,4,7,1,7,1,2,3,7,0,4,1,6,0,6,6,0,3,3,6,2,6,0,3,7,6
E00000030,B,5,1,3,3,4,2,2,7,1,4,2,2,3,7,3,0,0,6,0,0,6,7,7,4,6,2,6,5,2,7,4
E00000031,B,5,3,3,3,2,2,2,7,1,4,1,2,3,7,3,0,0,6,0,0,6,7,7,3,6,2,6,5,2,7,4
E00000032,B,0,3,3,3,2,2,2,0,3,1,2,2,3,7,2,6,3,7,0,5,6,6,6,1,6,7,6,5,2,7,4
E00000035,D,6,1,1,1,4,4,4,7,1,4,1,2,3,5,0,4,1,2,6,6,6,0,3,3,6,2,6,0,3,7,6
E00000037,G,4,0,5,2,5,5,5,2,5,6,6,5,4,0,4,7,4,3,4,7,5,6,6,1,3,3,4,7,6,4,3
E00000038,C,4,5,5,2,5,5,5,2,5,6,6,1,4,0,4,7,4,3,4,7,5,6,6,5,3,3,4,7,6,4,3
E00000039,B,0,0,0,2,3,3,3,5,7,7,6,0,4,3,2,6,3,4,0,5,5,2,6,1,3,5,5,2,5,3,3
